Study,year,Title,Marker,Sample.type,Sensitivity,Specificity,Size,is.size150,Prevalence,is.prevalence05,Case,Control,Stage,GS,is.ed,is.icu,is.pureed,is.pureicu,is.serum,is.wb,is.plasma,is.sirs.vs.sepsis,is.on.admission,is.medical,is.surgical,is.trauma,is.burn,is.sirs,is.shock,is.sepsis3,cutoff,cutoff.unit,Threshold,Sample.collecting,is.af,is.as,is.eu,is.am,Zone,Country,Department,Mean.age,Measurement,is.pediatric,is.bacteremia,cannot.include,is.sepsis3.group,sponsorship,is.sponsorship,Case control design or not,is.case.control,Patient selection (inappropriate exclusion),is.ps.norisk,Index test (prespecified cutoff),is.it.norisk,Reference standard (sepsis criteria),is.rs.norisk,Flow and Timing (did not report the sample timing),is.ft.norisk,Match the review question (include non-SIRS patients),is.ps.app,Index test differ from reiew question,is.it.app,Reference standard does not match the review question,is.rs.app
"S. Spoto, E. Nobile, E. P. R. Carn?, M. Fogolari, D. Caputo, L. De Florio, E. Valeriani, D. Benvenuto, S. Costantino, M. Ciccozzi and S. Angeletti",2020,Best diagnostic accuracy of sepsis combining SIRS criteria or qSOFA score with Procalcitonin and Mid-Regional pro-Adrenomedullin outside ICU,PCT,,0.6794,0.9804,209,1,0.80861244,1,169,40,Sepsis 3.0,,0,0,0,0,0,0,0,,,0,1,,,,,,,,? 0.5 ng/mL,,0,0,1,0,,,,,,,,,,,0,,0,,0,,1,,1,,1,,1,,1,,1
"C. Thiriet, K. Mahjoub, G. Courte, P. Labroca, A. Cravoisy, J. Lemarie, M. Conrad, L. Nace, P. E. Bollaert and S. Gibot",2019,Automated measurement of neutrophil CD64 expression for diagnosing sepsis in critically ill patients,CRP,,0.677,0.771,72,0,0.555555556,1,40,32,Sepsis 3.0,,0,1,0,1,1,0,0,,,0,1,,,,,,,,30 mg/L,,0,0,1,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"C. Thiriet, K. Mahjoub, G. Courte, P. Labroca, A. Cravoisy, J. Lemarie, M. Conrad, L. Nace, P. E. Bollaert and S. Gibot",2019,Automated measurement of neutrophil CD64 expression for diagnosing sepsis in critically ill patients,PCT,,0.7,0.567,72,0,0.555555556,1,40,32,Sepsis 3.0,,0,1,0,1,0,0,1,,,0,1,,,,,,,,1.35 ng/mL,,0,0,1,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"C. Thiriet, K. Mahjoub, G. Courte, P. Labroca, A. Cravoisy, J. Lemarie, M. Conrad, L. Nace, P. E. Bollaert and S. Gibot",2019,Automated measurement of neutrophil CD64 expression for diagnosing sepsis in critically ill patients,CD64,,0.781,0.7,72,0,0.555555556,1,40,32,Sepsis 3.0,,0,1,0,1,0,1,0,,,0,1,,,,,,,,0.48,,0,0,1,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"G. F. Juro?, M. Tomi?i?, S. D. ?ari?, M. Peri? and D. Rogi?",2019,"Contribution of presepsin, procalcitonin and C-reactive protein to the SOFA score in early sepsis diagnosis in emergency abdominal surgical patients",presepsin,,0.972,0.333,72,0,0.5,1,36,36,Sepsis 3.0,,0,1,0,1,0,0,0,,,0,1,,,,,,,, 349ng/L ,,0,0,1,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"G. F. Juro?, M. Tomi?i?, S. D. ?ari?, M. Peri? and D. Rogi?",2019,"Contribution of presepsin, procalcitonin and C-reactive protein to the SOFA score in early sepsis diagnosis in emergency abdominal surgical patients",PCT,,0.972,0.167,72,0,0.5,1,36,36,Sepsis 3.0,,0,1,0,1,0,0,0,,,0,1,,,,,,,,0.17μg/L,,0,0,1,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"G. F. Juro?, M. Tomi?i?, S. D. ?ari?, M. Peri? and D. Rogi?",2019,"Contribution of presepsin, procalcitonin and C-reactive protein to the SOFA score in early sepsis diagnosis in emergency abdominal surgical patients",CRP,,0.972,0.139,72,0,0.5,1,36,36,Sepsis 3.0,,0,1,0,1,0,0,0,,,0,1,,,,,,,,18.1,,0,0,1,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"D. W. Jekarl, J. Y. Kim, J. H. Ha, S. Lee, J. Yoo, M. Kim and Y. Kim",2019,"Diagnosis and Prognosis of Sepsis Based on Use of Cytokines, Chemokines, and Growth Factors",IL-6,,0.675,0.955,160,1,0.5,1,80,80,Sepsis 3.0,,1,1,0,0,1,0,0,,,0,0,,,,,,,,40.8,,0,1,0,0,,,,,,,,,,,1,,0,,0,,0,,1,,1,,1,,1,,1
"Z. Ye, H. Zou, S. Liu, C. Mei, X. Chang, Z. Hu, H. Yang and Y. Wu",2019,Diagnostic performance of neutrophil CD64 index in patients with sepsis in the intensive care unit,CD64,,0.83,0.88,62,0,0.564516129,1,35,27,Sepsis 3.0,,0,1,0,1,0,0,0,,,0,0,,,,,,,,4.56,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"Z. Ye, H. Zou, S. Liu, C. Mei, X. Chang, Z. Hu, H. Yang and Y. Wu",2019,Diagnostic performance of neutrophil CD64 index in patients with sepsis in the intensive care unit,CRP,,0.74,0.86,62,0,0.564516129,1,35,27,Sepsis 3.0,,0,1,0,1,0,0,0,,,0,0,,,,,,,, 98mg/mL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"Z. Ye, H. Zou, S. Liu, C. Mei, X. Chang, Z. Hu, H. Yang and Y. Wu",2019,Diagnostic performance of neutrophil CD64 index in patients with sepsis in the intensive care unit,PCT,,0.77,0.81,62,0,0.564516129,1,35,27,Sepsis 3.0,,0,1,0,1,0,0,0,,,0,0,,,,,,,, 2.81ng/mL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"J. S. Choi, B. R. Yoon, J. H. Shin, S. H. Lee, A. Y. Leem, M. S. Park, Y. S. Kim and K. S. Chung",2020,Clinical value of full-length tryptophanyl-tRNA synthetase for sepsis detection in critically ill patients - A retrospective clinical assessment,PCT,,0.842,0.51,241,1,0.788381743,1,190,51,Sepsis 3.0,,0,1,0,1,0,0,0,,,1,0,,,,,,,,0.42 ng/mL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"J. S. Choi, B. R. Yoon, J. H. Shin, S. H. Lee, A. Y. Leem, M. S. Park, Y. S. Kim and K. S. Chung",2020,Clinical value of full-length tryptophanyl-tRNA synthetase for sepsis detection in critically ill patients - A retrospective clinical assessment,CRP,,0.474,0.745,241,1,0.788381743,1,190,51,Sepsis 3.0,,0,1,0,1,0,0,0,,,1,0,,,,,,,,13.74 mg/L,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"J. S. Choi, B. R. Yoon, J. H. Shin, S. H. Lee, A. Y. Leem, M. S. Park, Y. S. Kim and K. S. Chung",2020,Clinical value of full-length tryptophanyl-tRNA synthetase for sepsis detection in critically ill patients - A retrospective clinical assessment,IL-6,,0.563,0.686,241,1,0.788381743,1,190,51,Sepsis 3.0,,0,1,0,1,0,0,0,,,1,0,,,,,,,,196.95 pg//mL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"J. S. Choi, B. R. Yoon, J. H. Shin, S. H. Lee, A. Y. Leem, M. S. Park, Y. S. Kim and K. S. Chung",2020,Clinical value of full-length tryptophanyl-tRNA synthetase for sepsis detection in critically ill patients - A retrospective clinical assessment,SOFA,,0.684,0.863,241,1,0.788381743,1,190,51,Sepsis 3.0,,0,1,0,1,0,0,0,,,1,0,,,,,,,,8,,0,1,0,0,,,,,,,,,,,0,,1,,0,,1,,1,,1,,1,,1,,1
"Y. D. Sui, W. N. Xin and L. L. Feng",2020,"Comparison of the clinical application values of pct, hs-crp and saa detection in the early diagnosis of sepsis",PCT,,0.7895,0.8824,36,0,0.472222222,0,17,19,Sepsis 3.0,,0,0,0,0,0,0,0,,,0,0,,,,,,,,未提及,,0,1,0,0,,,,,,,,,,,0,,0,,0,,0,,1,,1,,1,,1,,1
"Y. D. Sui, W. N. Xin and L. L. Feng",2020,"Comparison of the clinical application values of pct, hs-crp and saa detection in the early diagnosis of sepsis",CRP,,0.5217,0.6154,36,0,0.472222222,0,17,19,Sepsis 3.0,,0,0,0,0,0,0,0,,,0,0,,,,,,,,未提及,,0,1,0,0,,,,,,,,,,,0,,0,,0,,0,,1,,1,,1,,1,,1
"J. A. H. van Oers, E. de Jong, H. Kemperman, A. R. J. Girbes and D. W. de Lange",2020,Diagnostic Accuracy of Procalcitonin and C-reactive Protein Is Insufficient to Predict Proven Infection: A Retrospective Cohort Study in Critically Ill Patients Fulfilling the Sepsis-3 Criteria,PCT,,0.48,0.52,157,1,0.401273885,0,63,94,Sepsis 3.0,,0,1,0,1,0,0,1,,,0,1,,,,,,,,"2 ng/,L",,0,0,1,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"J. A. H. van Oers, E. de Jong, H. Kemperman, A. R. J. Girbes and D. W. de Lange",2020,Diagnostic Accuracy of Procalcitonin and C-reactive Protein Is Insufficient to Predict Proven Infection: A Retrospective Cohort Study in Critically Ill Patients Fulfilling the Sepsis-3 Criteria,CRP,,0.51,0.54,157,1,0.401273885,0,63,94,Sepsis 3.0,,0,1,0,1,0,0,1,,,0,1,,,,,,,,200 mg/L,,0,0,1,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"O. Ruangsomboon, P. Panjaikaew, A. Monsomboon, T. Chakorn, C. Permpikul and C. Limsuwat",2020,Diagnostic and prognostic utility of presepsin for sepsis in very elderly patients in the emergency department,presepsin,,0.835,0.622,250,1,0.556,1,139,111,Sepsis 3.0,,1,0,1,0,1,0,0,,,0,0,,,,,,,,380 pg/mL,,0,1,0,0,,,,,,,,,,,0,,1,,1,,0,,1,,1,,1,,1,,1
"O. Ruangsomboon, P. Panjaikaew, A. Monsomboon, T. Chakorn, C. Permpikul and C. Limsuwat",2020,Diagnostic and prognostic utility of presepsin for sepsis in very elderly patients in the emergency department,PCT,,0.705,0.685,250,1,0.556,1,139,111,Sepsis 3.0,,1,0,1,0,1,0,0,,,0,0,,,,,,,,0.4 ng/mL,,0,1,0,0,,,,,,,,,,,0,,1,,1,,0,,1,,1,,1,,1,,1
"O. Ruangsomboon, P. Panjaikaew, A. Monsomboon, T. Chakorn, C. Permpikul and C. Limsuwat",2020,Diagnostic and prognostic utility of presepsin for sepsis in very elderly patients in the emergency department,CRP,,0.784,0.667,250,1,0.556,1,139,111,Sepsis 3.0,,1,0,1,0,1,0,0,,,0,0,,,,,,,,30 mg/L,,0,1,0,0,,,,,,,,,,,0,,1,,1,,0,,1,,1,,1,,1,,1
"T. Katoch, A. Singh, V. Suri, S. Sethi, N. Sachdeva and S. Naseem",2020,Diagnostic performance of biomarkers in maternal sepsis: A prospective observational study,PCT,,0.8333,0.6667,30,0,0.6,1,18,12,Sepsis 3.0,,0,0,0,0,1,0,0,,,0,1,,,,,,,,0.394 ng/mL,,0,1,0,0,,,,,,,,,,,0,,1,,1,,0,,1,,1,,1,,1,,1
"T. Katoch, A. Singh, V. Suri, S. Sethi, N. Sachdeva and S. Naseem",2020,Diagnostic performance of biomarkers in maternal sepsis: A prospective observational study,CRP,,0.7778,0.75,30,0,0.6,1,18,12,Sepsis 3.0,,0,0,0,0,1,0,0,,,0,1,,,,,,,,71.4mg/L,,0,1,0,0,,,,,,,,,,,0,,1,,1,,0,,1,,1,,1,,1,,1
"F. Guo, Y. C. Feng, G. Zhao, H. L. Wu, L. Xu, J. Zhao, J. Lv, S. T. Han, Y. C. Huang and X. M. Ma",2019,"The Leukocyte VCS Parameters Compared with Procalcitonin, Interleukin-6, and Soluble Hemoglobin Scavenger Receptor sCD163 for Prediction of Sepsis in Patients with Cirrhosis",PCT,,0.778,0.93,154,1,0.350649351,0,54,100,Sepsis 3.0,,1,0,1,0,1,0,0,,,0,0,,,,,,,,0.51 ng/mL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"F. Guo, Y. C. Feng, G. Zhao, H. L. Wu, L. Xu, J. Zhao, J. Lv, S. T. Han, Y. C. Huang and X. M. Ma",2019,"The Leukocyte VCS Parameters Compared with Procalcitonin, Interleukin-6, and Soluble Hemoglobin Scavenger Receptor sCD163 for Prediction of Sepsis in Patients with Cirrhosis",IL-6,,0.815,0.93,154,1,0.350649351,0,54,100,Sepsis 3.0,,1,0,1,0,1,0,0,,,0,0,,,,,,,,465 pg/mL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"J. J?ms?, T. Ala-Kokko, V. Huotari, P. Ohtonen, E. R. Savolainen and H. Syrj?l?",2018,"Neutrophil CD64, C-reactive protein, and procalcitonin in the identification of sepsis in the ICU - Post-test probabilities",PCT,,0.96,0.79,39,0,0.641025641,1,25,14,Sepsis 3.0,,0,1,0,1,0,0,0,,,0,0,,,,,,,,0.42?g/l,,0,0,1,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"J. J?ms?, T. Ala-Kokko, V. Huotari, P. Ohtonen, E. R. Savolainen and H. Syrj?l?",2018,"Neutrophil CD64, C-reactive protein, and procalcitonin in the identification of sepsis in the ICU - Post-test probabilities",CRP,,0.56,0.93,42,0,0.642857143,1,27,15,Sepsis 3.0,,0,1,0,1,0,0,0,,,0,0,,,,,,,,218g/l,,0,0,1,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"J. J?ms?, T. Ala-Kokko, V. Huotari, P. Ohtonen, E. R. Savolainen and H. Syrj?l?",2018,"Neutrophil CD64, C-reactive protein, and procalcitonin in the identification of sepsis in the ICU - Post-test probabilities",CD64,,1,0.93,42,0,0.642857143,1,27,15,Sepsis 3.0,,0,1,0,1,0,0,0,,,0,0,,,,,,,,9172,,0,0,1,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"J. Jiang, H. Du, Y. Su, X. Li, J. Zhang, M. Chen, G. Ren, F. He and B. Niu",2019,Nonviral infection-related lymphocytopenia for the prediction of adult sepsis and its persistence indicates a higher mortality,PCT,,0.8831,0.8439,100,0,0.77,1,77,23,Sepsis 3.0,,0,1,0,1,0,0,0,,,0,0,,,,,,,,0.71 ng/mL,,0,1,0,0,,,,,,,,,,"The authors acknowledge the financial support for this project by The Fostering Foundation of the First Affiliated Hospital of Chongqing Medical University (PYJJ2017–26), the Yuzhong district Science and Technology Project (20170408), the Scientific Research Fund of Chongqing Medical University (NSFYY201705), and the Intensive Care Medical Research Fund of AESCULAP (2017001).",1,,1,,0,,0,,1,,1,,1,,1,,1
"J. Contenti, C. Occelli, F. Lemoel, P. Ferrari and J. Levraut",2019,Presepsin versus other biomarkers to predict sepsis and septic shock in patients with infection defined by Sepsis-3 criteria: the PREDI study of diagnostic accuracy,presepsin,,0.62,0.72,359,1,0.690807799,1,248,111,Sepsis 3.0,,1,0,1,0,0,0,0,,,0,0,,,,,,,,500 pg/mL,,0,0,1,0,,,,,,,,,,"Este estudio ha recibido financiaci?n mediante una beca de ThermoFisher Group que sirvi? para disponer de los reactivos necesarios para la determinaci?n de presepsina. Los autores fueron los ?nicos implicados en la redacci?n del manuscrito. ThermoFisher no tuvo acceso a los datos, a los resultados ni al manuscrito",1,,1,,0,,0,,1,,0,,1,,1,,1
"J. Contenti, C. Occelli, F. Lemoel, P. Ferrari and J. Levraut",2019,Presepsin versus other biomarkers to predict sepsis and septic shock in patients with infection defined by Sepsis-3 criteria: the PREDI study of diagnostic accuracy,PCT,,0.7,0.59,359,1,0.690807799,1,248,111,Sepsis 3.0,,1,0,1,0,0,0,0,,,0,0,,,,,,,,0.25 ng/mL,,0,0,1,0,,,,,,,,,,"Este estudio ha recibido financiaci?n mediante una beca de ThermoFisher Group que sirvi? para disponer de los reactivos necesarios para la determinaci?n de presepsina. Los autores fueron los ?nicos implicados en la redacci?n del manuscrito. ThermoFisher no tuvo acceso a los datos, a los resultados ni al manuscrito",1,,1,,0,,0,,1,,0,,1,,1,,1
"S. Spoto, E. Cella, M. De Cesaris, L. Locorriere, S. Mazzaroppi, E. Nobile, A. M. Lanotte, L. Pedicino, M. Fogolari, S. Costantino, G. Dicuonzo, M. Ciccozzi and S. Angeletti",2018,Procalcitonin and MR-Proadrenomedullin Combination with SOFA and qSOFA Scores for Sepsis Diagnosis and Prognosis: A Diagnostic Algorithm,PCT,,0.55,0.98,159,1,0.685534591,1,109,50,Sepsis 3.0,,0,0,0,0,0,0,1,,,0,0,,,,,,,,0.50 ng/mL,,0,0,1,0,,,,,,,,,,,0,,0,,0,,0,,1,,1,,1,,1,,1
"S. Spoto, E. Cella, M. De Cesaris, L. Locorriere, S. Mazzaroppi, E. Nobile, A. M. Lanotte, L. Pedicino, M. Fogolari, S. Costantino, G. Dicuonzo, M. Ciccozzi and S. Angeletti",2018,Procalcitonin and MR-Proadrenomedullin Combination with SOFA and qSOFA Scores for Sepsis Diagnosis and Prognosis: A Diagnostic Algorithm,SOFA,,0.742,0.68,159,1,0.685534591,1,109,50,Sepsis 3.0,,0,0,0,0,0,0,0,,,0,0,,,,,,,,2,,0,0,1,0,,,,,,,,,,,0,,0,,0,,1,,1,,1,,1,,1,,1
"Y. Li, K. Feng, W. Chen, J. Qiao and M. Zhao",2020,"High levels of CRP, PCT and HBP are collrelated with pneumonia secondary sepsis",PCT,,0.6425,0.8269,84,0,0.416666667,0,35,49,Sepsis 3.0,,0,0,0,0,0,0,1,,,0,0,,,,,,,,missing,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,0,,1,,1,,1
"Y. Li, K. Feng, W. Chen, J. Qiao and M. Zhao",2020,"High levels of CRP, PCT and HBP are collrelated with pneumonia secondary sepsis",CRP,,0.7574,0.6911,84,0,0.416666667,0,35,49,Sepsis 3.0,,0,0,0,0,0,0,1,,,0,0,,,,,,,,missing,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,0,,1,,1,,1
"(Ecoli) Y. Koizumi, D. Sakanashi, T. Ohno, A. Nakamura, A. Yamada, Y. Shibata, A. Shiota, H. Kato, M. Hagihara, N. Asai, M. Watarai, K. Murotani, Y. Yamagishi, H. Suematsu and H. Mikamo",2020,Plasma procalcitonin levels remain low at the onset of gram-positive bacteremia regardless of severity or the presence of shock: A retrospective analysis of patients with detailed clinical characteristics,PCT,,0.71,0.86,46,0,0.369565217,0,17,29,septic shock,,0,0,0,0,0,0,1,,,0,0,,,,,,,,32.47 ng/mL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"(Ecoli) Y. Koizumi, D. Sakanashi, T. Ohno, A. Nakamura, A. Yamada, Y. Shibata, A. Shiota, H. Kato, M. Hagihara, N. Asai, M. Watarai, K. Murotani, Y. Yamagishi, H. Suematsu and H. Mikamo",2020,Plasma procalcitonin levels remain low at the onset of gram-positive bacteremia regardless of severity or the presence of shock: A retrospective analysis of patients with detailed clinical characteristics,CRP,,0.57,0.89,46,0,0.369565217,0,17,29,septic shock,,0,0,0,0,0,0,1,,,0,0,,,,,,,,22.9 mg/dL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"(KP) Y. Koizumi, D. Sakanashi, T. Ohno, A. Nakamura, A. Yamada, Y. Shibata, A. Shiota, H. Kato, M. Hagihara, N. Asai, M. Watarai, K. Murotani, Y. Yamagishi, H. Suematsu and H. Mikamo",2020,Plasma procalcitonin levels remain low at the onset of gram-positive bacteremia regardless of severity or the presence of shock: A retrospective analysis of patients with detailed clinical characteristics,PCT,,0.27,1,50,0,0.52,1,26,24,septic shock,,0,0,0,0,0,0,1,,,0,0,,,,,,,,97.1 ng/mL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"(KP) Y. Koizumi, D. Sakanashi, T. Ohno, A. Nakamura, A. Yamada, Y. Shibata, A. Shiota, H. Kato, M. Hagihara, N. Asai, M. Watarai, K. Murotani, Y. Yamagishi, H. Suematsu and H. Mikamo",2020,Plasma procalcitonin levels remain low at the onset of gram-positive bacteremia regardless of severity or the presence of shock: A retrospective analysis of patients with detailed clinical characteristics,CRP,,0.4,0.78,50,0,0.52,1,26,24,septic shock,,0,0,0,0,0,0,1,,,0,0,,,,,,,,17.17 mg/dL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"(SA) Y. Koizumi, D. Sakanashi, T. Ohno, A. Nakamura, A. Yamada, Y. Shibata, A. Shiota, H. Kato, M. Hagihara, N. Asai, M. Watarai, K. Murotani, Y. Yamagishi, H. Suematsu and H. Mikamo",2020,Plasma procalcitonin levels remain low at the onset of gram-positive bacteremia regardless of severity or the presence of shock: A retrospective analysis of patients with detailed clinical characteristics,PCT,,0.73,0.61,45,0,0.311111111,0,14,31,septic shock,,0,0,0,0,0,0,1,,,0,0,,,,,,,,1.83 ng/mL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"(SA) Y. Koizumi, D. Sakanashi, T. Ohno, A. Nakamura, A. Yamada, Y. Shibata, A. Shiota, H. Kato, M. Hagihara, N. Asai, M. Watarai, K. Murotani, Y. Yamagishi, H. Suematsu and H. Mikamo",2020,Plasma procalcitonin levels remain low at the onset of gram-positive bacteremia regardless of severity or the presence of shock: A retrospective analysis of patients with detailed clinical characteristics,CRP,,0.71,0.7,45,0,0.311111111,0,14,31,septic shock,,0,0,0,0,0,0,1,,,0,0,,,,,,,,18.27 mg/dL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"(Sepidermitis) Y. Koizumi, D. Sakanashi, T. Ohno, A. Nakamura, A. Yamada, Y. Shibata, A. Shiota, H. Kato, M. Hagihara, N. Asai, M. Watarai, K. Murotani, Y. Yamagishi, H. Suematsu and H. Mikamo",2020,Plasma procalcitonin levels remain low at the onset of gram-positive bacteremia regardless of severity or the presence of shock: A retrospective analysis of patients with detailed clinical characteristics,PCT,,0.81,0.31,56,0,0.303571429,0,17,39,septic shock,,0,0,0,0,0,0,1,,,0,0,,,,,,,,0.82 ng/mL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"(Sepidermitis) Y. Koizumi, D. Sakanashi, T. Ohno, A. Nakamura, A. Yamada, Y. Shibata, A. Shiota, H. Kato, M. Hagihara, N. Asai, M. Watarai, K. Murotani, Y. Yamagishi, H. Suematsu and H. Mikamo",2020,Plasma procalcitonin levels remain low at the onset of gram-positive bacteremia regardless of severity or the presence of shock: A retrospective analysis of patients with detailed clinical characteristics,CRP,,0.69,0.6,56,0,0.303571429,0,17,39,septic shock,,0,0,0,0,0,0,1,,,0,0,,,,,,,,6.34 mg/dL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"A. Aliu-Bejta, A. Atelj, M. Kurshumliu, S. Dreshaj and B. Bar?i?",2020,Presepsin values as markers of severity of sepsis,presepsin,,0.727,0.617,100,0,0.34,0,34,66,septic shock,,0,1,0,1,1,0,0,,,0,0,,,,,,,,110 ng/mL,,0,0,1,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
R. Tanvi and B. Dhanashree,2020,Procalcitonin and c-reactive protein: A predictor of bacteremia in sepsis,PCT,,1,0.123,152,1,0.144736842,0,22,130,Sepsis 3.0 + bacteremia,,0,1,0,1,0,0,1,,,0,0,,,,,,,,0.425 ng/mL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
R. Tanvi and B. Dhanashree,2020,Procalcitonin and c-reactive protein: A predictor of bacteremia in sepsis,CRP,,0.955,0.213,149,0,0.147651007,0,22,127,Sepsis 3.0 + bacteremia,,0,1,0,1,0,0,1,,,0,0,,,,,,,,,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"D. W. Jekarl, S. Lee, M. Kim, Y. Kim, S. H. Woo and W. J. Lee",2019,Procalcitonin as a prognostic marker for sepsis based on SEPSIS-3,PCT,,0.845,0.466,248,1,0.745967742,1,185,63,Sepsis 3.0,,1,0,1,0,0,1,0,,,0,0,,,,,,,,0.18 ng/mL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"D. W. Jekarl, S. Lee, M. Kim, Y. Kim, S. H. Woo and W. J. Lee",2019,Procalcitonin as a prognostic marker for sepsis based on SEPSIS-3,CRP,,0.665,0.508,248,1,0.745967742,1,185,63,Sepsis 3.0,,1,0,1,0,0,1,0,,,0,0,,,,,,,,51.16 ng/mL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"(Euthyroid) A. S. Shirali, J. X. Wu, C. Y. Zhu, A. Ocampo, C. H. Tseng, L. Du, M. J. Livhits, A. M. Leung and M. W. Yeh",2019,The Role of Serum Procalcitonin in Predicting Bacterial Sepsis in Patients With Hypothyroidism,PCT,,0.59,0.81,217,1,0.451612903,0,98,119,Sepsis 3.0,,0,0,0,0,1,0,0,,,1,0,,,,,,,,not mentioned,,0,0,0,1,,,,,,,,,,,0,,1,,0,,0,,1,,0,,1,,1,,1
"(MH) A. S. Shirali, J. X. Wu, C. Y. Zhu, A. Ocampo, C. H. Tseng, L. Du, M. J. Livhits, A. M. Leung and M. W. Yeh",2019,The Role of Serum Procalcitonin in Predicting Bacterial Sepsis in Patients With Hypothyroidism,PCT,,0.61,0.77,197,1,0.467005076,0,92,105,Sepsis 3.0,,0,0,0,0,1,0,0,,,1,0,,,,,,,,not mentioned,,0,0,0,1,,,,,,,,,,,0,,1,,0,,0,,1,,0,,1,,1,,1
"(TT) A. S. Shirali, J. X. Wu, C. Y. Zhu, A. Ocampo, C. H. Tseng, L. Du, M. J. Livhits, A. M. Leung and M. W. Yeh",2019,The Role of Serum Procalcitonin in Predicting Bacterial Sepsis in Patients With Hypothyroidism,PCT,,0.53,0.81,84,0,0.428571429,0,36,48,Sepsis 3.0,,0,0,0,0,1,0,0,,,1,0,,,,,,,,not mentioned,,0,0,0,1,,,,,,,,,,,0,,1,,0,,0,,1,,0,,1,,1,,1
"B. Yao, W. J. Liu, D. Liu, J. Y. Xing and L. J. Zhang",2020,Usefulness of sialic acid for diagnosis of sepsis in critically ill patients: a retrospective study,PCT,,0.679,0.84,497,1,0.331991952,0,165,332,Sepsis 3.0,,0,1,0,1,1,0,0,,,0,0,,,,,,,,0.435,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"Y. Zhou, Z. Liu, J. Huang, G. Li, F. Li, Y. Cheng, X. Xie and J. Zhang",2019,Usefulness of the heparin-binding protein level to diagnose sepsis and septic shock according to Sepsis-3 compared with procalcitonin and C reactive protein: a prospective cohort study in China,PCT,,0.709,0.826,125,0,0.744,1,93,32,Sepsis 3.0,,0,0,0,0,0,0,1,,,0,0,,,,,,,, ?2.05ng/ml       ,,0,1,0,0,,,,,,,,,,,0,,0,,0,,0,,1,,0,,1,,1,,1
"Y. Zhou, Z. Liu, J. Huang, G. Li, F. Li, Y. Cheng, X. Xie and J. Zhang",2019,Usefulness of the heparin-binding protein level to diagnose sepsis and septic shock according to Sepsis-3 compared with procalcitonin and C reactive protein: a prospective cohort study in China,CRP,,0.602,0.739,125,0,0.744,1,93,32,Sepsis 3.0,,0,0,0,0,0,0,1,,,0,0,,,,,,,, ?151.9mg/L,,0,1,0,0,,,,,,,,,,,0,,0,,0,,0,,1,,0,,1,,1,,1
